crash_year,hour_of_day,latitude,longitude
2017,10,39 55:48.669,75 09:35.222
2017,14,40 00:25.065,75 11:19.926
2017,13,40 00:33.033,75 04:00.784
2017,8,39 56:57.814,75 10:09.260
2017,23,39 59:21.791,75 07:14.263
2017,15,40 04:14.186,75 04:16.384
2017,20,40 00:38.634,75 09:54.381
2017,17,39 57:08.419,75 11:17.556
2017,18,39 56:09.117,75 09:42.404
2017,9,40 02:32.010,75 04:48.588
2017,14,40 00:42.800,75 03:34.200
2017,16,40 00:54.826,75 10:36.228
2017,21,39 56:47.415,75 08:59.058
2017,1,39 53:36.480,75 11:45.776
2017,3,39 54:03.801,75 14:58.434
2017,22,39 56:38.520,75 11:31.571
2017,3,39 56:42.131,75 13:47.865
2017,7,40 01:41.872,75 03:29.845
2017,18,40 05:18.095,75 02:38.676
2017,9,40 03:05.086,75 07:27.616
2017,5,40 01:24.240,75 02:53.370
2017,23,39 53:16.531,75 13:01.164
2017,7,40 01:22.821,75 02:07.003
2017,99,39 59:04.885,75 14:12.573
2017,0,39 55:55.243,75 11:59.508
2017,10,40 04:09.505,75 00:26.083
2017,17,39 57:15.980,75 12:18.387
2017,8,39 57:23.349,75 12:55.731
2017,7,39 53:31.462,75 14:29.658
2017,16,39 55:31.134,75 10:37.011
2017,8,39 55:20.434,75 14:30.142
2017,16,39 59:45.570,75 06:46.774
2017,10,40 02:30.207,75 05:17.996
2017,1,40 02:04.023,75 06:53.623
2017,22,40 02:20.311,75 00:31.361
2017,1,39 57:00.619,75 14:35.638
2017,21,39 55:30.432,75 09:57.002
2017,22,40 00:53.588,75 10:14.102
2017,19,40 05:40.718,75 00:54.707
2017,15,39 55:33.679,75 09:48.254
2017,18,39 55:44.620,75 08:46.020
2017,8,40 00:51.570,75 10:41.163
2017,0,39 59:47.920,75 04:29.210
2017,20,40 00:49.375,75 05:11.561
2017,6,40 00:18.770,75 05:33.796
2017,19,39 58:54.163,75 06:20.145
2017,9,40 05:47.688,74 58:17.437
2017,21,39 54:42.148,75 10:20.534
2017,7,40 01:51.776,75 05:23.499
2017,15,40 01:08.120,75 02:58.217
2017,2,40 01:28.448,75 11:04.992
2017,10,39 55:39.486,75 08:41.816
2017,8,39 57:18.578,75 09:21.297
2017,17,40 02:47.902,75 01:54.658
2017,99,39 56:44.156,75 13:38.664
2017,1,39 53:58.595,75 09:49.869
2017,12,39 53:58.968,75 15:01.871
2017,6,39 59:52.328,75 06:40.437
2017,5,39 57:34.089,75 09:43.114
2017,16,40 07:07.965,75 01:05.114
2017,2,39 57:18.600,75 08:48.300
2017,0,39 58:08.120,75 13:49.033
2017,23,40 00:31.174,75 04:11.468
2017,23,39 57:24.012,75 11:52.849
2017,15,40 02:23.373,75 08:40.028
2017,7,39 58:21.907,75 10:47.704
2017,18,40 01:43.284,75 07:03.795
2017,19,40 00:15.405,75 09:07.965
2017,21,40 01:45.229,75 12:15.116
2017,16,39 57:45.547,75 11:00.368
2017,20,39 59:32.046,75 14:44.336
2017,10,40 05:00.056,75 01:34.975
2017,13,40 04:26.918,75 09:30.203
2017,16,40 06:34.747,74 59:12.411
2017,20,40 05:42.858,75 02:15.370
2017,18,40 02:12.634,75 07:49.512
2017,17,40 00:34.641,75 03:50.429
2017,23,39 55:59.768,75 12:00.010
2017,99,40 01:55.743,75 05:30.580
2017,18,39 52:41.405,75 15:02.185
2017,12,39 56:51.183,75 11:15.904
2017,1,39 57:53.251,75 12:26.287
2017,9,40 04:43.561,75 10:35.983
2017,9,39 52:53.822,75 14:46.329
2017,12,39 58:10.746,75 12:41.274
2017,11,40 02:25.798,75 03:31.964
2017,7,39 58:26.778,75 13:40.310
2017,15,40 03:31.504,75 03:02.099
2017,17,39 57:48.455,75 11:02.830
2017,17,39 58:03.558,75 10:47.441
2017,18,40 03:08.166,75 09:05.905
2017,0,39 57:25.304,75 10:49.515
2017,20,40 00:00.034,75 09:11.773
2017,1,40 01:51.836,75 07:27.681
2017,6,39 55:36.599,75 11:41.490
2017,17,39 53:36.480,75 11:45.776
2017,17,39 58:57.093,75 09:05.770
2017,17,40 03:24.439,75 03:39.177
2017,7,40 00:13.178,75 10:08.095
2017,11,39 58:44.161,75 05:44.111
2017,11,40 02:13.125,75 00:48.427
2017,21,39 55:31.162,75 09:27.611
2017,13,39 57:27.590,75 08:57.380
2017,16,39 54:35.600,75 09:15.600
2017,15,39 55:09.827,75 10:15.002
2017,15,39 56:58.748,75 11:02.422
2017,23,39 59:43.310,75 11:52.199
2017,17,39 57:16.426,75 13:33.605
2017,11,39 57:24.479,75 09:15.760
2017,16,39 57:23.671,75 11:28.761
2017,17,40 03:19.476,75 00:20.003
2017,99,39 57:50.536,75 14:39.757
2017,11,40 00:03.196,75 06:52.142
2017,12,39 56:56.614,75 09:20.265
2017,23,39 59:20.627,75 05:22.626
2017,6,40 03:11.276,75 05:31.765
2017,14,39 57:43.326,75 13:17.414
2017,23,39 55:50.446,75 11:55.329
2017,3,39 56:40.412,75 13:17.922
2017,21,40 03:30.931,75 09:09.871
2017,14,40 00:43.570,75 09:08.451
2017,3,40 00:59.817,75 08:49.848
2017,19,39 56:15.090,75 13:50.239
2017,15,39 55:15.711,75 13:26.782
2017,20,39 54:33.655,75 10:23.826
2017,13,39 57:34.990,75 14:06.684
2017,9,39 58:11.965,75 08:35.133
2017,0,39 59:02.778,75 09:36.176
2017,21,40 02:10.017,75 09:46.648
2017,23,40 00:29.720,75 11:28.591
2017,1,39 58:43.342,75 05:51.613
2017,10,40 01:07.384,75 06:06.253
2017,0,39 59:12.004,75 06:43.747
2017,2,40 01:45.310,75 05:23.878
2017,15,39 56:25.592,75 11:43.878
2017,13,39 58:52.286,75 12:23.768
2017,22,40 00:57.144,75 09:13.828
2017,10,39 57:41.048,75 08:53.436
2017,8,39 58:09.789,75 09:48.682
2017,16,40 03:34.390,75 03:07.429
2017,14,39 57:16.045,75 12:53.647
2017,4,40 02:17.938,75 02:49.299
2017,12,39 54:40.810,75 14:33.592
2017,9,39 54:46.993,75 10:20.708
2017,10,40 00:38.520,75 06:00.010
2017,9,40 03:02.600,75 04:12.920
2017,1,39 59:36.351,75 07:07.942
2017,1,39 54:54.446,75 08:16.059
2017,17,40 02:45.348,75 00:06.533
2017,0,39 57:14.857,75 08:22.331
2017,2,40 03:07.726,75 14:18.061
2017,8,39 58:17.205,75 09:33.736
2017,19,39 59:50.726,75 06:00.023
2017,14,39 56:04.959,75 09:08.434
2017,19,40 02:50.956,75 05:30.725
2017,22,39 59:12.685,75 05:17.834
2017,17,39 54:29.858,75 08:58.234
2017,22,40 00:13.849,75 08:22.793
2017,3,40 01:00.708,75 08:58.113
2017,19,39 57:10.507,75 12:44.183
2017,8,40 05:26.700,75 03:20.300
2017,99,40 01:15.339,75 05:40.590
2017,17,40 00:54.459,75 12:27.064
2017,5,40 01:55.785,75 05:03.553
2017,6,39 59:57.990,75 09:11.751
2017,14,40 06:09.756,75 01:45.397
2017,1,40 06:52.110,75 01:44.350
2017,16,40 02:15.530,75 00:42.038
2017,15,39 58:30.226,75 11:42.705
2017,12,39 57:15.350,75 08:33.745
2017,11,40 03:46.951,75 12:01.474
2017,9,39 58:38.270,75 09:29.632
2017,5,40 01:36.832,75 05:50.065
2017,9,40 01:09.025,75 02:41.597
2017,17,39 57:16.005,75 10:47.439
2017,13,39 57:40.266,75 14:49.451
2017,3,39 56:24.149,75 09:58.815
2017,8,39 57:50.865,75 10:31.205
2017,22,39 56:59.139,75 11:02.626
2017,22,39 57:34.891,75 10:34.906
2017,0,39 55:55.228,75 09:04.715
2017,16,39 59:40.860,75 08:03.003
2017,18,40 01:43.183,75 12:19.909
2017,8,40 00:28.891,75 07:23.101
2017,99,39 59:56.365,75 13:51.781
2017,7,39 59:07.285,75 09:40.982
2017,18,39 59:16.125,75 10:50.108
2017,99,40 03:31.188,75 02:39.382
2017,17,40 00:21.036,75 05:47.139
2017,16,40 03:39.884,75 05:01.093
2017,10,39 55:26.851,75 10:10.798
2017,23,39 56:47.500,75 09:39.776
2017,20,40 02:32.725,75 04:57.598
2017,19,39 58:14.147,75 10:55.005
2017,21,39 56:45.881,75 14:31.459
2017,0,40 00:42.920,75 09:50.847
2017,5,39 56:22.663,75 11:46.809
2017,8,40 01:29.500,75 07:32.500
2017,12,39 57:35.042,75 11:42.755
2017,15,39 55:31.958,75 09:21.628
2017,21,40 03:06.237,75 09:10.315
2017,13,39 57:41.253,75 09:06.413
2017,13,39 58:20.544,75 09:59.380
